id,name,lat,lng
0200,Cardero & Bayshore,49.291597,-123.129158
0201,Rogers Tower,49.288682,-123.11818
0202,14th & Oak,49.258761,-123.127071
0204,York & Yew,49.271741,-123.155421
0205,Pine & 10th,49.262822,-123.14338
0206,8th & Scotia,49.263635,-123.099236
0207,Alberni & Jervis,49.28763,-123.127245
0209,Stanley Park - Information Booth,49.297933,-123.130758
0210,Burrard & 14th,49.259469,-123.145718
0211,14th & Alder,49.258819,-123.131317
0212,Union & Dunlevy,49.277595,-123.09583
0213,Pender & Gore,49.280284,-123.097052
0215,Princess & Union,49.277615,-123.091654
0217,Smithe & Burrard,49.282503,-123.124697
0219,Hawks & Union,49.277333,-123.087359
0221,Glen & Union,49.277469,-123.081315
0222,Adanac & McLean,49.277665,-123.073653
0223,Commercial & Adanac,49.277436,-123.070427
0224,Pender & Commercial,49.280332,-123.070068
0225,McLean & Pender,49.280427,-123.074082
0227,Campbell & Hastings,49.280852,-123.084746
0228,Keefer & Hawks,49.279235,-123.087528
0229,Keefer & Princess,49.279369,-123.091241
0230,Alexander & Railway,49.283992,-123.091206
0231,Napier & Commercial,49.274881,-123.069323
0232,Britannia Parking Lot,49.275882,-123.071865
0233,Thornton & National,49.273777,-123.092723
0235,Charles & Commercial,49.273103,-123.069892
0236,Keith & 6th,49.265005,-123.079481
0239,Grant & Commercial,49.271377,-123.069416
0240,2nd & Commercial,49.268616,-123.069908
0241,4th & Commercial,49.266969,-123.069936
0242,8th & Commercial,49.263242,-123.070521
0244,10th & Commercial,49.261403,-123.070102
0245,Woodland & 10th,49.261263,-123.073707
0246,Glen & Broadway,49.262242,-123.081459
0248,St George & Broadway,49.262321,-123.09306
0249,7th & Woodland,49.264251,-123.073853
0250,Woodland & 4th,49.266751,-123.073501
0252,Woodland & Graveley,49.270684,-123.073562
0253,Charles & Woodland,49.2731,-123.0732
0254,Grandview & Commercial,49.263746,-123.069892
0255,18th & Main,49.254667,-123.101389
0256,Prince Edward & 16th,49.256694,-123.096579
0257,Prince Edward & 14th,49.258352,-123.096337
0258,13th & St George,49.258817,-123.092797
0260,10th & Fraser,49.26151,-123.089413
0261,8th & Fraser,49.263382,-123.088837
0262,8th & Prince Edward,49.263518,-123.09568
0265,St Catherines & 10th,49.261353,-123.085333
0266,St Catherines & 7th,49.264466,-123.085183
0272,Pender & Victoria,49.280197,-123.065859
0273,Victoria & 4th,49.266725,-123.065925
0274,Victoria & 10th,49.261188,-123.066009
0278,15th & Victoria (Trout Lake),49.256857,-123.065646
0280,Triumph & Victoria,49.283986,-123.065264
0281,Windsor & 14th,49.257985,-123.083366
0282,14th & Fraser,49.257939,-123.089531
0283,15th & Knight,49.256496,-123.075426
0285,Commercial & Pandora,49.283236,-123.070443
0287,Carolina & Great Northern Way,49.267266,-123.090786
0297,6th & Prince Edward,49.265242,-123.095577
0298,6th & Carolina,49.265213,-123.090785
0300,Bute & Barclay,49.284893,-123.128685
0305,Georgia & Homer,49.280787,-123.115271
0308,Seymour & Cordova,49.28512,-123.11242
0310,Jervis & Robson,49.286646,-123.129232
0311,13th & Cambie,49.259579,-123.114769
0313,Nelson & Denman,49.289071,-123.138407
0314,Rolston & Granville,49.274232,-123.129998
0315,1st & Fir,49.270783,-123.141564
0318,Granville & Neon,49.27549,-123.12882
0319,Pacific & Rolston,49.2749,-123.12898
0352,Commercial & 20th,49.252656,-123.067965
0354,Station & Terminal,49.272172,-123.097978
0400,Jericho Beach,49.271221,-123.191133
0403,Highbury & 8th,49.265442,-123.187738
0410,Alma & Point Grey,49.27247,-123.185643
0414,Dunbar & 6th,49.266636,-123.183661
