id,name,lat,lng
102,CE-097 República de Salvador-Pino Suárez,19.429189,-99.132759
103,CE-099 Ernesto Pugibet-Luis Moya,19.429947,-99.14591
104,CE-107-108 Tolsa-Balderas,19.427305,-99.149533
105,CE-122 José María Vértiz-Av. Dr. Río de la Loza,19.425502,-99.146337
106,CE-029 Reforma - Bucareli,19.434944,-99.150295
107,CE-110 Dr. Valenzuela-Dr. Río de la loza,19.425126,-99.143391
108,CE-093 Palma Norte-República de Cuba,19.436741,-99.134811
109,CE-091 Republica de Cuba-Allende,19.4374,-99.137571
110,CE-112 Av. Morelos-Abraham González,19.432819,-99.151734
111,CE-065 Marconi - Tacuba,19.436522,-99.139811
112,CE-088 2a Cerrada de 5 de Mayo - Palma,19.433757,-99.135331
113,CE-003 Reforma - Insurgentes,19.43163,-99.158547
114,CE-109 Nezahualcóyotl-Isabel la Católica,19.425311,-99.137421
115,CE-113 General Prim-Versalles,19.430369,-99.154419
116,CE-123 Claudio Bernard-Dr. Lavista,19.424161,-99.153117
117,CE-259 Tómas Alva Edison-Ponciano Arriaga,19.437569,-99.15468
118,CE-260 Av. Juárez-Balderas,19.435311,-99.147786
119,CE-016 Reforma - Río Tiber,19.426753,-99.168619
120,CE-025 Reforma - Estocolmo,19.427338,-99.16672
121,CE-116 Londres-Roma,19.428985,-99.15664
122,CE-019 Reforma - Río Rhin,19.429453,-99.16283
123,CE-005 Río Pánuco Río Tiber,19.429804,-99.169451
124,CE-261 Paseo de la Reforma-Río de la Plata,19.42491,-99.172455
125,CE-263 Sadi Carnot - Gómez Farias,19.436274,-99.158425
126,CE-111 Guillermo Prieto - Joaquín Velázquez de León,19.438197,-99.165918
127,CE-265 Mina - Jesús García,19.440839,-99.152265
128,CE-264-275 Héroes Ferrocarrileros - Jesús Garcia,19.440985,-99.152935
129,CE-255 José Rosas Moreno-Guillermo Prieto,19.437118,-99.161862
130,CE-268-269 Luis Donaldo Colosio - Av. Jesús García,19.442467,-99.151658
131,CE-007 Río Elba - Río Lerma,19.425355,-99.17515
132,CE-254 Alfonso Herrera-Miguel Shultz,19.439177,-99.159957
133,CE-115 Roma-Dinamarca,19.429947,-99.159698
134,CE-273-274 Luis Donaldo Colosio - Av. Jesús García,19.442707,-99.152956
135,CE-035 Liverpool - Génova,19.424558,-99.163518
136,CE-012 Río Lerma - Villalongín,19.432223,-99.161686
137,CE-006 Río Pánuco - Río Sena,19.430963,-99.166986
138,CE-132 Colima-Frontera,19.420667,-99.15645
139,CE-144 Frontera-San Luis Potosí,19.415192,-99.154837
140,CE-147 Coahuila-Orizaba,19.412182,-99.158443
141,CE-271-272 Jesús García - Carlos J. Meneses,19.443684,-99.152465
142,CE-002 Río Guadalquivir - Río Nazas,19.430495,-99.17116
143,CE-137 Álvaro Obregón-Mérida,19.418774,-99.157081
144,CE-139 Tonalá-Guanajuato,19.416128,-99.162097
145,CE-190 Gobernador Ignacio Esteva-Maestro José Vasconcelos,19.409577,-99.183818
146,CE-185 General Antonio Léon-General Pedro Antonio de los Santos,19.412776,-99.182805
147,CE-228 Campos Elíseos-La Fontaine,19.427705,-99.19912
148,CE-220 Plinio-Presidente Masaryk,19.432655,-99.205727
149,CE-204 Temístocles-Homero,19.435882,-99.19152
150,CE-199 Anatole France-Av. Ejército Nacional,19.437934,-99.197241
151,CE-247 Herschel-Rousseau,19.432276,-99.18064
152,CE-158-159 Huatabampo-Eje 1 Pte. Av. Cuauhtémoc,19.407517,-99.155373
153,CE-207 Torquato Tasso-Homero,19.434861,-99.183322
154,CE-222 Alejandro Dumas-Presidente Masarik,19.431417,-99.195774
155,CE-216 Alejandro Dumas-Horacio,19.433419,-99.195746
156,CE-212 Hegel-Horacio,19.433864,-99.188094
157,CE-140 Mérida-Zacatecas,19.416596,-99.156879
158,CE-229 Carlos Dickens-Séneca,19.430515,-99.203331
159,CE-231 Isaac Newton-Aristóteles,19.429712,-99.193579
160,CE-460 Juan Vázquez De Mella-Homero,19.437165,-99.207931
161,CE-214 Platón-Horacio,19.434353,-99.20322
162,CE-218 Hegel-Ibarbourou,19.432451,-99.188033
163,CE-243 Lago Filt-Miguel de Cervantes Saavedra,19.441123,-99.195857
164,CE-192-193 Rubén Darío.Reforma,19.425907,-99.190733
165,CE-464 Mateo Alemán-Prolongación Moliere,19.442421,-99.199838
166,CE-195 Reforma-Circuito Mahatma Gandhi,19.424858,-99.185181
167,CE-120 Marsella-Nápoles,19.425437,-99.159458
168,CE-143 Córdoba-San Luis Potosí,19.414303,-99.157542
169,CE-150 Campeche-Medellín,19.409894,-99.164288
170,CE-161 Quintana Roo-Manzanillo,19.405533,-99.164913
171,CE-031 Hamburgo - Insurgentes,19.427922,-99.161246
172,CE-280 Anaxágoras-Obrero Mundial,19.4015,-99.156406
173,CE-032 Londres - Sevilla,19.422686,-99.169983
174,CE-118 Liverpool-Dinamarca,19.427171,-99.158108
175,CE-134 Álvaro Obregón-Orizaba,19.418293,-99.159936
176,CE-033 Londres - Florencia,19.424187,-99.166497
177,CE-165 Bajío-Eje 2 Pte. Monterrey,19.404268,-99.160503
178,CE-179 Nuevo León-Quintana Roo,19.404436,-99.171381
179,CE-293 Mier y Pesado-Eje 4 Sur Xola,19.397373,-99.164598
180,CE-037 Guadalajara - Puebla,19.420417,-99.172712
181,CE-156 Tepic-Ario,19.406959,-99.163021
182,CE-285 12 de Octubre-Minería,19.399763,-99.177538
183,CE-131 Colima-Jalapa,19.419579,-99.161314
184,CE-030 Hamburgo - Amberes,19.4261,-99.164937
185,CE-057 Cuernavaca - Juan Escutia,19.414968,-99.174766
186,CE-058 Parque España - Juan de la Barrera,19.415358,-99.171902
187,CE-175 Mutualismo-José Martí,19.400599,-99.17246
188,CE-148 Coahuila-Av. Cuauhtémoc,19.412829,-99.155116
189,CE-177 Benjamín Hill - Carlos Zetina,19.408841,-99.181692
190,CE-166 Progreso-Cda. Antonio Maceo,19.406069,-99.183549
191,CE-241 Ejército Nacional-Juan Vázquez de la Mella,19.438693,-99.207573
192,CE-173 Minería-José Martí,19.401682,-99.176398
193,CE-126 Jalapa-Puebla,19.422288,-99.162138
194,CE-127 Puebla-Merida,19.423318,-99.15833
195,CE-180 Quintana Roo-Villahermosa,19.404554,-99.169953
196,CE-467 Lago Mayor-Lago Alberto,19.440399,-99.186784
197,CE-167 General Salvador Alvarado-Progreso,19.404609,-99.17941
198,CE-196 Lago Tanganica- Av. Ejército Nacional,19.438349,-99.192904
199,CE-152 Tlacotalpan-Campeche,19.409098,-99.167181
200,CE-200 Emerson-Av. Ejército Nacional,19.437596,-99.188785
201,CE-461 Presa Don Martín-Boulevard Miguel De Cervantes Saavedra,19.440106,-99.210031
202,CE-454 Montes Urales-Monte Pelvoux,19.425905,-99.204236
203,CE-466 Lago Onega-Lago Ladoga,19.44269,-99.19083
204,CE-213 Solón-Cicerón,19.434366,-99.206306
205,CE-157 Tepic-Tlacotalpan,19.406236,-99.166616
206,CE-456 Alpes-Montes Escandinavos,19.427517,-99.208412
207,CE-459 Volcán-Montes Urales,19.429324,-99.207159
208,CE-457 Av. Prado Norte-Explanada,19.42703,-99.212845
209,CE-283 Av. Coyoacán-Rafael Dondé,19.397923,-99.167248
210,CE-294 Nicolás San Juan-Eje 4 Sur Xola,19.396442,-99.160902
211,CE-278 Mier Y Pesado-Obrero Mundial,19.40071,-99.163831
212,CE-282 La Morena-Eje 2 Poniente Gabriel Mancera,19.398719,-99.16128
213,CE-320 Enrique Rébsamen-Luz Saviñón,19.391323,-99.15936
214,CE-044 Durango - Veracruz,19.418141,-99.174709
215,CE-114 Lucerna-Abraham González,19.428989,-99.153618
216,CE-322 Heriberto Frías-Concepción Beistegui,19.388457,-99.160643
217,CE-318 Luz Saviñón-Amores,19.392195,-99.163987
218,CE-009 Río Guadalquivir - Río Lerma,19.428184,-99.170013
219,CE-234 Tres Picos-Arquímides,19.427862,-99.191405
220,CE-339 Enrique Rébsamen-Avenida Eugenia,19.386212,-99.160583
221,CE-188 Gobernador Melchor Múzquiz-Gobernador Ignacio Esteva,19.411711,-99.190139
222,CE-298 Romero de Terreros-Gabriel Mancera,19.394092,-99.162139
223,CE-189 Gobernador Rafael Rebollar-Gobernador José Ceballos,19.410046,-99.18796
224,CE-249 Shakespeare-Darwin,19.429884,-99.177594
225,CE-043 Revillagigedo - Juárez,19.435136,-99.146076
226,CE-469 Bahía de la Concepción-Bahía de Todos Los Santos,19.434183,-99.173089
227,CE-472 Bahía de Santa Bárbara-Bahía de Ballenas,19.437667,-99.17711
228,CE-048 Independencia - Azueta,19.433705,-99.146665
