id,name
115,(ZPN-025) Av. V. Carranza / Av. Jose Simeon
116,Ex-ZPN-026 C. 16 Sep. / C. Fray A. de Segovia
117,(ZPN-027) C. 5 de Mayo / C. Noviembre
118,(ZPN-028) Av. F. Aranguren / Av. Laureles
119,(ZPN-029) C. La Villa / C. Cuauhtémoc
120,(ZPN-030) Av.Juan Pablo II / Lázaro Cárdenas
124,Demo GDL
125,(ZPN-031) C. Niño Obrero/Calz Lázaro Cárdenas
126,(ZPN-032) Calz Lázaro Cárdenas / Av San Fco
127,(ZPN-033) Av Lázaro Cárdenas / Av San Ignacio
128,(ZPN-034) C. San Demetrio / C. Niño Obrero
129,(ZPN-035) C. San Juan Bosco / Av. San Ignacio
130,(ZPN-036) C. Niño Obrero /C José María Robles
131,(ZPN-037) Av. San Ignacio / Av. Guadalupe
132,(ZPN-038) C. Santa Rita / Av. Guadalupe
133,(ZPN-039) Av. Niño Obrero / C. Juan Diego
134,(ZPN-040) C. Santa María / C. Árbol
135,(ZPN-041) C. 12 de Diciembre / C. Juan Diego
136,(ZPN-042) C. Tonatiuh / Av. Netzahualcóyotl
137,(ZPN-043) C. Ermita / C. Del Árbol
138,Ex-ZPN-044
139,(ZPN-045) Av. Tizoc / C. Iztaccíhuatl
140,(ZPN-046) Av. Cubilete / Av. López Mateos
141,(ZPN-047) Av. Tizoc / Av. López Mateos
142,(TLQ-001) BlvrdGarcía Barragán/C. Río Tajo
143,(TLQ-002) C. Juárez / Av. Niños Héroes
144,(TLQ-003) C. Contreras Medellín/Donato Guerra
145,(TLQ-004) C. Donato Guerra / C. Obregón
146,(TLQ-005) C. Zalatitán / C. Jalisco
147,Ex-TLQ-006 C. Zalatitán / Av. Francisco Silva
148,(TLQ-007) Blvrd.García Barragán/Donato Guerra
149,Ex-TLQ-008 C. Juárez / C.Francisco de Miranda
150,(TLQ-009) C. Progreso / C. Juárez
151,(TLQ-010) C. Zaragoza / C. Emilio Carranza
152,(TLQ-011) C. Jalisco / C. Hidalgo
153,(TLQ-012) C. Paseo Don Bosco / C. Tonalá
154,(GDL-087) Av. Américas / Av. López Mateos
155,(GDL-088) Av.Plan de San Luis/C. Andrés Teran
156,(GDL-089) C. Juan Álvarez / C. Cruz Verde
157,(GDL-090) Calz. Federalismo / C. Durango
158,(GDL-091) C. Magisterio /Av. M. Ávila Camacho
159,(GDL-092) Calz Federalismo / Av Plan San Luis
160,(GDL-093) C. H Colegio Militar / Av. Américas
